,T_ext,T_ext1,T_ext2
499,2.8,1.551990798,4.117129484
500,2.2,1.712406446,3.278408961
501,2.2,1.762471649,2.90928409
502,2.2,1.738489576,2.690666049
503,2.2,1.678126183,2.543780348
504,1.7,1.603701472,2.226567163
505,1.7,1.525684546,2.082968144
506,1.7,1.447164201,1.985347362
507,1.1,1.368774225,1.657820208
508,0.6,1.289738055,1.312957498
509,0.6,1.207789821,1.162684937
510,0.6,1.122681349,1.062856426
511,1.1,1.040389523,1.197498647
512,0.6,0.963871075,0.98758338
513,0.6,0.895873235,0.907376707
514,0.6,0.832963756,0.853443041
515,1.1,0.774421203,1.021382962
516,1.7,0.726231963,1.300308184
517,2.2,0.694242584,1.586915407
518,2.8,0.682779825,1.935146024
519,2.8,0.691872161,2.059923943
520,3.3,0.720007253,2.341644874
521,0.6,0.749711813,1.315099308
522,-2.2,0.758737868,-0.128373228
523,-3.3,0.719301498,-1.060921802
524,-3.9,0.616070083,-1.705627848
525,-4.4,0.460087658,-2.233121905
526,-5.6,0.268526508,-3.013160718
527,-5,0.058656698,-3.101603733
528,-6.1,-0.164953646,-3.718357027
529,-5.6,-0.386932664,-3.77912495
530,-5.6,-0.602028624,-3.904436621
531,-5,-0.802608579,-3.766886899
532,-6.7,-0.99347511,-4.509533399
533,-7.2,-1.17639333,-4.979716619
534,-8.3,-1.366946144,-5.66691851
535,-7.8,-1.567081044,-5.747766098
536,-7.8,-1.773319229,-5.879316145
537,-3.9,-1.958819099,-4.353503505
538,-1.7,-2.098846422,-3.046360562
539,0,-2.160892254,-1.895289475
540,1.1,-2.137528668,-0.991418888
541,2.2,-2.041017589,-0.135272651
542,2.8,-1.890543429,0.500507712
543,3.3,-1.703841675,1.034550547
544,3.9,-1.494843428,1.572724923
545,1.7,-1.285068078,0.924714281
546,-1.1,-1.10055366,-0.326355872
547,-2.2,-0.970903225,-1.119156242
548,-2.2,-0.910909903,-1.399019483
549,-2.2,-0.908959306,-1.548188596
550,-3.3,-0.945765676,-2.105610429
551,-2.8,-1.001701111,-2.096527843
552,-2.8,-1.070667605,-2.155101672
553,-2.8,-1.143007009,-2.208897563
554,-2.2,-1.207828076,-2.001656102
555,-1.1,-1.256290238,-1.50309438
556,-1.1,-1.285264033,-1.361919316
557,-1.1,-1.292931799,-1.294142092
558,-1.1,-1.285445475,-1.253362406
559,-1.1,-1.270756962,-1.225867497
560,-0.6,-1.251645345,-0.995250887
561,0,-1.226421372,-0.66535828
562,0.6,-1.189945365,-0.293868891
563,1.7,-1.134654961,0.313832841
564,1.7,-1.060847837,0.538484553
565,2.8,-0.963904319,1.137126297
566,2.2,-0.853999229,1.117768646
567,2.2,-0.73562541,1.190841186
568,2.2,-0.6191031,1.261512833
569,2.8,-0.507903108,1.575828868
570,2.8,-0.401607997,1.703617836
571,-0.6,-0.312380845,0.357919161
572,0.6,-0.242718544,0.51101831
573,1.7,-0.202160494,0.95880623
574,1.7,-0.176673433,1.074481015
575,1.7,-0.146059431,1.131357765
576,2.2,-0.105775014,1.37921031
577,2.2,-0.059922355,1.468751776
578,2.8,-0.005358793,1.776067891
579,2.2,0.052722157,1.63779856
580,1.7,0.110815242,1.424252071
581,0.6,0.157031885,0.913478809
582,-1.1,0.176608374,0.046469294
583,-1.1,0.163359745,-0.238891878
584,-1.1,0.117137217,-0.395462548
585,-1.1,0.049303374,-0.50042546
586,-1.1,-0.026147511,-0.57786466
587,-1.7,-0.103012325,-0.891250089
588,-1.7,-0.178412425,-1.014941911
589,-1.1,-0.252305919,-0.842711735
590,-1.1,-0.32145567,-0.82993472
591,-1.1,-0.384396949,-0.84087901
592,-1.7,-0.441122876,-1.109533788
593,-2.8,-0.498211318,-1.663616577
594,-5,-0.573386674,-2.780700338
595,-5,-0.675561668,-3.163977569
596,-5,-0.805979883,-3.385791476
